Lab_Source,Adsorbent,Adsorbate,Surface area(m2/g),Adsorption capacity(mg/g),Initial Concentration(ppm),RE,Contact Time (min.),Dose(g/L),RPM,Initial pH,T(K),Ref.,Unnamed: 12,Adsorbate_norm,Adsorbent_Family,Site_Density,Cap_Load_Ratio,LogTime,Mixing_Index,Thermo_Capacity,Driving_Force,Acidity_Strength,ion_charge,ion_ionic_radius_A,ion_hydrated_radius_A,ion_known,ion_potential,hydration_ratio,Regime,Ref_group,Adsorbent_group,Adsorbate_group
,Tamarind wood,Pb2+,2.49,35.3,30.0,28.0,40.0,2.0,125.0,6.5,298.0,Acharya et al. (2009),Removal of lead(II) from wastewater by activated carbon developed from Tamarind wood by zinc chloride activation - ScienceDirect,Pb2+,biomass,0.16599999999446668,1.1766666666274443,3.713572066704308,464.1965083380385,10519.4,14.9999999925,0.5,2.0,1.19,4.01,1,1.6806722674952332,3.369747896327943,Acidic_LowC0,Acharya et al. (2009),Tamarind wood,Pb2+
,Pterocladia capillacea,Cr3+,4.65,66.0,50.0,100.0,120.0,6.5,125.0,1.0,298.0,El Nemr et al. (2015),"Removal of toxic chromium from aqueous solution, wastewater and saline water by marine red alga Pterocladia capillacea and its activated carbon - ScienceDirect",Cr3+,composite_other,0.60449999998791,1.3199999999736,4.795790545596741,599.4738181995926,19668.0,7.6923076911242605,6.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,El Nemr et al. (2015),Pterocladia capillacea,Cr3+
,Zizania caduciflora,Cr3+,0.19,2.7,30.0,84.8,48.0,0.8,125.0,2.5,298.0,Liu et al. (2014),Enhancement of Cr(VI) removal by modifying activated carbon developed from Zizania caduciflora with tartaric acid during phosphoric acid activation - ScienceDirect,Cr3+,composite_other,0.005066666666497779,0.08999999999700001,3.8918202981106265,486.4775372638283,804.6,37.499999953125,4.5,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,Liu et al. (2014),Zizania caduciflora,Cr3+
,Prawn shell,Cr3+,7.04,100.0,75.0,98.0,31.4,1.0,125.0,5.0,298.0,Arulkumar et al. (2012),Rapid removal of chromium from aqueous solution using novel prawn shell activated carbon - ScienceDirect,Cr3+,composite_other,0.09386666666541511,1.3333333333155555,3.4781584227982836,434.76980284978544,29800.0,74.999999925,2.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Arulkumar et al. (2012),Prawn shell,Cr3+
,Iron oxide incorporated into silica derived from rice husk,Cr3+,4.49,63.69,175.0,71.0,120.0,2.0,125.0,2.0,298.0,Oladoja et al. (2013),(PDF) Iron incorporated rice husk silica as a sorbent for hexavalent chromium attenuation in aqueous system,Cr3+,mineral_oxide,0.0513142857139925,0.36394285714077745,4.795790545596741,599.4738181995926,18979.62,87.49999995625,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Oladoja et al. (2013),Iron oxide incorporated into silica derived from rice husk,Cr3+
,Ozone-treated rice husk,Cr3+,0.77,10.9,75.0,86.0,150.0,4.0,125.0,2.0,298.0,Sugashini & Begum (2015),Preparation of activated carbon from carbonized rice husk by ozone activation for Cr(VI) removal | Request PDF,Cr3+,biomass,0.04106666666611911,0.14533333333139556,5.017279836814924,627.1599796018655,3248.2000000000003,18.7499999953125,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Sugashini & Begum (2015),Ozone-treated rice husk,Cr3+
,Coconut coir pith modified by using surfactant cetyltrimethyl ammonium bromide,Cr3+,2.11,29.96,30.0,98.0,120.0,1.0,125.0,8.0,298.0,Nadeem et al. (2006),Removal of chromium(VI) from water and wastewater using surfactant modified coconut coir pith as a biosorbent - ScienceDirect,Cr3+,composite_other,0.07033333333098889,0.9986666666333778,4.795790545596741,599.4738181995926,8928.08,29.999999969999998,1.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Neutral_LowC0,Nadeem et al. (2006),Coconut coir pith modified by using surfactant cetyltrimethyl ammonium bromide,Cr3+
,Coconut coir pith modified by using hexadecyltrimethyl ammonium bromide surfactant,Cr3+,5.37,76.3,40.0,96.0,90.0,3.2,125.0,2.0,298.0,Namasivayam & Sureshkumar (2008),Removal of Chromium(VI) From Water and Wastewater Using Surfactant Modified Coconut Coir Pith as a Biosorbent | Request PDF,Cr3+,composite_other,0.4295999999892601,1.9074999999523126,4.51085950651685,563.8574383146063,22737.399999999998,12.499999996093749,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,Namasivayam & Sureshkumar (2008),Coconut coir pith modified by using hexadecyltrimethyl ammonium bromide surfactant,Cr3+
,Acinetobacter haemolyticus bacteria inside sugarcane bagasse,Cr3+,2.49,35.3,55.0,94.0,2880.0,1.0,125.0,7.0,298.0,Ahmad et al. (2013),Cr(VI) reduction in naturally rich growth medium and sugarcane bagasse by Acinetobacter haemolyticus | Request PDF,Cr3+,composite_other,0.04527272727190414,0.6418181818065124,7.9658927350845286,995.7365918855661,10519.4,54.999999945,0.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Neutral_HighC0,Ahmad et al. (2013),Acinetobacter haemolyticus bacteria inside sugarcane bagasse,Cr3+
,Succinic acid modified sugarcane bagasse,Cr3+,2.49,35.3,50.0,92.0,60.0,20.0,125.0,2.0,298.0,Garg et al. (2009),https://doi.org/10.1016/j.desal.2008.10.025,Cr3+,composite_other,0.9959999999800802,0.70599999998588,4.110873864173311,513.859233021664,10519.4,2.499999999875,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Garg et al. (2009),Succinic acid modified sugarcane bagasse,Cr3+
,Sugarcane bagasse activated with zinc chloride,Cr3+,2.49,35.3,77.5,93.0,60.0,6.85,125.0,8.58,298.0,Cronje et al. (2011),Optimization of chromium(VI) sorption potential using developed activated carbon from sugarcane bagasse with chemical activation by zinc chloride - ScienceDirect,Cr3+,carbon_based,0.22008387096490212,0.45548387096186466,4.110873864173311,513.859233021664,10519.4,11.313868611487027,1.58,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Neutral_HighC0,Cronje et al. (2011),Sugarcane bagasse activated with zinc chloride,Cr3+
,Wheat bran,Cr3+,6.55,93.0,20.0,89.0,20.0,80.0,125.0,5.0,298.0,Farajzadeh & Monji (2004),Adsorption characteristics of wheat bran towards heavy metal cations | Request PDF,Cr3+,composite_other,26.19999999869,4.6499999997675,3.044522437723423,380.5653047154279,27714.0,0.249999999996875,2.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,Farajzadeh & Monji (2004),Wheat bran,Cr3+
,Wheat bran modified using sulphuric acid,Cr3+,9.37,133.0,75.0,99.9,300.0,2.0,125.0,1.5,298.0,Özer & Özer (2004),The Adsorption of Cr(VI) on Sulphuric Acid-Treated Wheat Bran | Request PDF,Cr3+,composite_other,0.24986666666333507,1.7733333333096888,5.707110264748875,713.3887830936094,39634.0,37.49999998125,5.5,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Özer & Özer (2004),Wheat bran modified using sulphuric acid,Cr3+
,Wheat bran modified using tartaric acid,Cr3+,0.37,5.28,200.0,90.0,730.0,20.0,125.0,2.1,298.0,Kaya et al. (2014),Use of modified wheat bran for the removal of chromium(VI) from aqueous solutions - ScienceDirect,Cr3+,composite_other,0.036999999999815,0.026399999999868,6.594413459749778,824.3016824687222,1573.44,9.9999999995,4.9,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Kaya et al. (2014),Wheat bran modified using tartaric acid,Cr3+
,Modified coir pith using the surfactant hexadecyltrimethylammonium bromide,Cr3+,2.73,38.77,60.0,94.0,60.0,50.0,125.0,2.0,298.0,Namasivayam & Sureshkumar (2008),Removal of chromium(VI) from water and wastewater using surfactant modified coconut coir pith as a biosorbent - ScienceDirect,Cr3+,composite_other,2.2749999999620836,0.6461666666558973,4.110873864173311,513.859233021664,11553.460000000001,1.199999999976,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Namasivayam & Sureshkumar (2008),Modified coir pith using the surfactant hexadecyltrimethylammonium bromide,Cr3+
,Coconut coir and derived char,Cr3+,1.95,27.7,250.0,70.0,7200.0,1.0,125.0,3.0,298.0,Shen et al. (2012),Removal of hexavalent Cr by coconut coir and derived chars – The effect of surface functionality - ScienceDirect,Cr3+,composite_other,0.0077999999999688,0.11079999999955681,8.881975184248867,1110.2468980311085,8254.6,249.99999974999997,4.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Shen et al. (2012),Coconut coir and derived char,Cr3+
,Modified orange peel,Cr3+,0.28,4.0,250.0,82.0,4320.0,4.0,125.0,4.0,298.0,Marín et al. (2010),(PDF) Modified Orange Peel Waste as a Sustainable Material for Adsorption of Contaminants,Cr3+,composite_other,0.004479999999982081,0.015999999999936,8.371242135931933,1046.4052669914915,1192.0,62.499999984375,3.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Marín et al. (2010),Modified orange peel,Cr3+
,Pre-treated orange peel,Cr3+,0.66,9.43,10.0,65.0,260.0,10.0,125.0,3.0,298.0,Lugo-Lugo et al. (2012),Biosorption of Cr(III) and Fe(III) in single and binary systems onto pretreated orange peel - ScienceDirect,Cr3+,composite_other,0.659999999934,0.9429999999056999,5.564520407322694,695.5650509153368,2810.14,0.9999999999,4.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,Lugo-Lugo et al. (2012),Pre-treated orange peel,Cr3+
,Hydrochloric acid modified oak sawdust (Quercus coccifera),Cr3+,0.12,1.7,50.0,84.0,360.0,60.0,125.0,3.0,298.0,Argun et al. (2007),https://www.sciencedirect.com/science/article/abs/pii/S030438940600762X,Cr3+,biomass,0.14399999999712,0.033999999999320005,5.8888779583328805,736.1097447916101,506.59999999999997,0.8333333333194445,4.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Argun et al. (2007),Hydrochloric acid modified oak sawdust (Quercus coccifera),Cr3+
,Sulphuric acid modified pine sawdust,Cr3+,1.43,20.3,45.0,90.65,240.0,4.0,125.0,2.0,298.0,Politi & Sidiras (2012),https://pdf.sciencedirectassets.com/278653/1-s2.0-S1877705812X00225/1-s2.0-S1877705812030007/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjELz%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIHFVe0zrDMlX1pDbOfdr97qAAMWKKJwnMgnRHDH64GjDAiEAm52tYyVhlnW8temqdrUZfoloJl4Y6VJG6HImsKh93x4qvAUIlf%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDPdYblHSk5azzNyO6iqQBQ4RMWQN%2FH9AmfgeYvX2NSFgamS0SAywNOTqxHepbIK%2FC9xchXOlqDnayumRg%2BwppVlUEuEAj208jC6UcsQcnXVb%2B0zmUw7Oyvka7LnXmCA7a%2F%2FqB%2Fs6YCJbMERoNVk8LDo7NNktAr12NbEVrmwlX2RKC1WtyMhlYySnrqSP2u6a4AXFj8nc4TQfroqVFMH6pdZwBSb3pkGeKxxje7RFhsrE7llWqsxSNYdSQ6GmyQXYPYx%2BdrvL%2FUH5l%2FVi0%2BPH1msZzpTaDicLa6fUsDvy3p%2FUt8mtzH2TqbsucVk1MtnZc6ECfTWz1CURaVOQp0HVqFc8fUyoXU3yUSvY0uHEgY6Y2N5OAJEDK94eyrKZWLYk47OZ2MD8QEgv6A8STwhLEBZH8lFrFh4%2FVEquLLaFacvETxr3jxWOcqFhMo3BY4Sk88ZrCfqtPbEQISd5uAaswr1tgzflivxCAQ86zu1761bMWIntZI15GrBSV5VdHAhJ3LvI2OSqvJ2imOsXsA8%2B7fahsIBYsogGs3qwp1cem%2F9ewpZJFDn72KwzggqEIvbnbg1Ikh8nZp56X3t6hhfqAx2dzTSOJOpvDeNz9uRmAefHJQ9AKHe%2FjFeeRA23zKbClGj62t7Mf719la6y9Z0L%2Br6x3AXNxRpvFlcRN26bD2oykYjj4XrTLTxC9EoWbeqlCfrzf6UPoYzQGwrxMhX%2B396hvBEq9akBuEx%2BLpGxKDNVaJp39zA%2BdmW8PdcLD0fjb09VvTFMKVKOKa15FuWux1M%2BN%2Fn4kyUrW6ykwL4X%2FGZIHHnaOEMwM52wLeJBK%2FqnieNkMe1rWK4MRDlWttIQO2%2FfnT%2FXoKD4frMFvxjzspKo9GD%2BRovvK3ROz9xEKZ%2BBMNfoy7sGOrEBPrIC0T5JbpNR8dihntaPE%2BVaxOwsKSOEh1ti6rykvaTJi42yX6givDg%2Bt4f88WgE2BNdIBT7YrbkiCHOV4Zgk2v9IbOoN5Csq48MatjvQCBk53eIilCk%2FE%2B%2FS0AWGqf0nVWat8ReATORFKpt5vSWjrKrERpgIYSH8Du%2BM4pfHMLGEeq55%2FoKuOl4iNG3kZfsXBN3BHbtaSDk8SC6BgF2UOyuIAKUuynNXyIAVto9j2j%2B&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20241230T200500Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY3U76WUNW%2F20241230%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=cad33a09f1a0cf30cbf2d4b7da820a421716f7acf5b21b8c2cfbfd9e5f193392&hash=b00abb4ac168585abc3b2ae06fc0327eb58b7cb6045d95b390a7fe5a139aa467&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1877705812030007&tid=spdf-75d6a8c4-47a4-4aaa-8c40-2bb1415e50d2&sid=8750893551331644d39899426620c04d2177gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0f0e5e0207560e515551&rr=8fa4a4628d4554ec&cc=in,Cr3+,biomass,0.12711111110828643,0.4511111111010865,5.484796933490655,685.5996166863318,6049.400000000001,11.2499999971875,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,Politi & Sidiras (2012),Sulphuric acid modified pine sawdust,Cr3+
,Egg shell modified using PEI,Cr3+,11.27,160.0,100.0,90.0,725.0,25.0,125.0,3.0,298.0,Liu & Huang (2011),https://pubs.rsc.org/en/content/articlelanding/2011/jm/c1jm12329g,Cr3+,composite_other,2.817499999971825,1.599999999984,6.587550014824796,823.4437518530995,47680.0,3.99999999984,4.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Liu & Huang (2011),Egg shell modified using PEI,Cr3+
,Silica functionalised with mono amino and mercapto groups,Cd2+,0.16,1.0,25.0,80.0,2160.0,20.0,125.0,5.3,298.0,Machida et al. (2012),https://www.sciencedirect.com/science/article/abs/pii/S030438941200430X,Cd2+,composite_other,0.12799999999488001,0.0399999999984,7.6783263565068856,959.7907945633607,298.0,1.2499999999375,1.7000000000000002,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_LowC0,Machida et al. (2012),Silica functionalised with mono amino and mercapto groups,Cd2+
,Amino functionalised silica,Cd2+,2.88,18.25,50.0,90.0,120.0,5.0,125.0,5.0,298.0,Heidari et al. (2009),https://www.sciencedirect.com/science/article/abs/pii/S1385894709004318,Cd2+,composite_other,0.28799999999424,0.36499999999270005,4.795790545596741,599.4738181995926,5438.5,9.999999998,2.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,Heidari et al. (2009),Amino functionalised silica,Cd2+
,Polyamine-functionalised,Cd2+,5.58,35.3,5.62,70.0,2880.0,1.0,125.0,6.25,298.0,Alothman & Apblett (2010),https://www.sciencedirect.com/science/article/abs/pii/S0166445X10002997,Cd2+,composite_other,0.9928825621009105,6.281138788917946,7.9658927350845286,995.7365918855661,10519.4,5.61999999438,0.75,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_LowC0,Alothman & Apblett (2010),Polyamine-functionalised,Cd2+
,α-Ketoglutaricacid-modified magnetic chitosan,Cd2+,31.8,201.2,300.0,93.0,90.0,0.04,125.0,6.0,298.0,Yang et al. (2014b),https://www.sciencedirect.com/science/article/abs/pii/S0169433213023088,Cd2+,polymer,0.004239999999985867,0.6706666666644311,4.51085950651685,563.8574383146063,59957.6,7499.999812500005,1.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,Yang et al. (2014b),α-Ketoglutaricacid-modified magnetic chitosan,Cd2+
,Nano-hydroxyapatite/chitosan composite,Cd2+,16.91,107.0,100.0,92.0,90.0,5.0,125.0,5.6,298.0,Salah et al. (2014),https://www.sciencedirect.com/science/article/abs/pii/S1876107013002691,Cd2+,polymer,0.8454999999915449,1.0699999999893,4.51085950651685,563.8574383146063,31886.0,19.999999996,1.4000000000000004,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,Salah et al. (2014),Nano-hydroxyapatite/chitosan composite,Cd2+
,Polyaniline grafted cross-linked chitosan beads,Cd2+,19.28,122.0,130.0,99.6,120.0,4.5,125.0,6.0,298.0,Igberase & Osifo (2015),https://www.sciencedirect.com/science/article/abs/pii/S1226086X14006728,Cd2+,polymer,0.6673846153794818,0.9384615384543196,4.795790545596741,599.4738181995926,36356.0,28.888888882469136,1.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,Igberase & Osifo (2015),Polyaniline grafted cross-linked chitosan beads,Cd2+
,O-carboxymethyl functionalisation of chitosan,Cd2+,5.58,35.3,675.0,95.0,1440.0,1.0,125.0,10.0,298.0,Borsagli et al. (2015),https://www.sciencedirect.com/science/article/abs/pii/S1381514815300535,Cd2+,polymer,0.00826666666665442,0.05229629629621882,7.273092595999522,909.1365744999403,10519.4,674.999999325,3.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Neutral_HighC0,Borsagli et al. (2015),O-carboxymethyl functionalisation of chitosan,Cd2+
,Multi-walled carbon nanotubes modified with chitosan,Cd2+,5.58,35.3,50.0,94.0,120.0,1.0,125.0,6.5,298.0,Salam et al. (2011),https://www.sciencedirect.com/science/article/abs/pii/S0925838810028574,Cd2+,carbon_based,0.11159999999776801,0.70599999998588,4.795790545596741,599.4738181995926,10519.4,49.999999949999996,0.5,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,Salam et al. (2011),Multi-walled carbon nanotubes modified with chitosan,Cd2+
,Synthetic zeolite A,Cd2+,71.63,453.25,500.0,90.65,180.0,1.0,125.0,5.0,298.0,El-Kamash et al. (2005),https://www.sciencedirect.com/science/article/abs/pii/S030438940500405X,Cd2+,mineral_oxide,0.14325999999971348,0.906499999998187,5.198497031265826,649.8121289082283,135068.5,499.99999949999994,2.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,El-Kamash et al. (2005),Synthetic zeolite A,Cd2+
,Zeolite from fly ash,Cd2+,19.91,126.0,2248.2,95.6,1440.0,10.0,125.0,6.6,298.0,Izidoro et al. (2013),https://www.sciencedirect.com/science/article/abs/pii/S0016236112006205,Cd2+,mineral_oxide,0.08855973667819209,0.05604483586867003,7.273092595999522,909.1365744999403,37548.0,224.81999997751797,0.40000000000000036,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,Izidoro et al. (2013),Zeolite from fly ash,Cd2+
,Oil shale into zeolite,Cd2+,15.11,95.6,100.0,90.65,750.0,1.0,125.0,7.0,298.0,Shawabkeh et al. (2004),https://www.sciencedirect.com/science/article/abs/pii/S0016236103003442,Cd2+,mineral_oxide,0.151099999998489,0.9559999999904399,6.621405651764134,827.6757064705168,28488.8,99.99999989999999,0.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Neutral_HighC0,Shawabkeh et al. (2004),Oil shale into zeolite,Cd2+
,Natural zeolite,Cd2+,32.0,9.0,50.0,71.0,1440.0,10.0,125.0,5.0,298.0,Hamidpour et al. (2010),https://www.sciencedirect.com/science/article/abs/pii/S0304389410006503,Cd2+,mineral_oxide,6.3999999998720005,0.1799999999964,7.273092595999522,909.1365744999403,2682.0,4.9999999995,2.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,Hamidpour et al. (2010),Natural zeolite,Cd2+
,Coffee residues blended with clay,Cd2+,2.8,17.7,130.0,90.0,30.0,10.0,125.0,2.0,298.0,Boonamnuayvitaya et al. (2004),https://www.researchgate.net/publication/244307502_Removal_of_Heavy_Metals_by_Adsorbent_Prepared_from_Pyrolyzed_Coffee_Residue_and_Clay,Cd2+,composite_other,0.2153846153829586,0.13615384615279882,3.4339872044851463,429.2484005606433,5274.599999999999,12.9999999987,5.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,Boonamnuayvitaya et al. (2004),Coffee residues blended with clay,Cd2+
,Coffee husks,Cd2+,1.09,6.9,75.0,75.0,4320.0,6.7,125.0,4.0,298.0,Oliveira et al. (2008),https://www.sciencedirect.com/science/article/pii/S0304389407011132,Cd2+,biomass,0.09737333333203503,0.09199999999877333,8.371242135931933,1046.4052669914915,2056.2000000000003,11.194029849075518,3.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Acidic_HighC0,Oliveira et al. (2008),Coffee husks,Cd2+
,Coffee beans,Cd2+,106.25,672.3,505.85,90.0,1440.0,10.0,125.0,8.0,303.0,Kaikake et al. (2007),https://www.sciencedirect.com/science/article/pii/S0960852406000927,Cd2+,composite_other,2.1004250271778186,1.3290501136674329,7.273092595999522,909.1365744999403,203706.9,50.584999994941505,1.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Neutral_HighC0,Kaikake et al. (2007),Coffee beans,Cd2+
,Coffee grounds from cafeterias,Cd2+,2.47,15.65,350.0,87.0,120.0,9.0,125.0,7.0,298.0,Azouaou et al. (2010),https://www.sciencedirect.com/science/article/pii/S0304389410010307,Cd2+,composite_other,0.06351428571410425,0.04471428571415796,4.795790545596741,599.4738181995926,4663.7,38.8888888845679,0.0,2.0,0.95,4.26,1,2.1052631556786707,4.484210521595568,Neutral_HighC0,Azouaou et al. (2010),Coffee grounds from cafeterias,Cd2+
